Uniprot ID,Protein Name,Gene Name,Function
P54760,Ephrin type-B receptor 4,EPHB4,"Receptor tyrosine kinase which binds promiscuously transmembrane ephrin-B family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Together with its cognate ligand/functional ligand EFNB2 it is involved in the regulation of cell adhesion and migration, and plays a central role in heart morphogenesis, angiogenesis and blood vessel remodeling and permeability. EPHB4-mediated forward signaling controls cellular repulsion and segregation from EFNB2-expressing cells.4 Publications"
P01589,Interleukin-2 receptor subunit alpha,IL2RA,Receptor for interleukin-2. The receptor is involved in the regulation of immune tolerance by controlling regulatory T cells (TREGs) activity. TREGs suppress the activation and expansion of autoreactive T-cells.2 Publications
O00300,Tumor necrosis factor receptor superfamily member 11B,TNFRSF11B,Acts as decoy receptor for TNFSF11/RANKL and thereby neutralizes its function in osteoclastogenesis. Inhibits the activation of osteoclasts and promotes osteoclast apoptosis in vitro. Bone homeostasis seems to depend on the local ratio between TNFSF11 and TNFRSF11B. May also play a role in preventing arterial calcification. May act as decoy receptor for TNFSF10/TRAIL and protect against apoptosis. TNFSF10/TRAIL binding blocks the inhibition of osteoclastogenesis.2 Publications
Q13740,CD166 antigen,ALCAM,"Cell adhesion molecule that mediates both heterotypic cell-cell contacts via its interaction with CD6, as well as homotypic cell-cell contacts (PubMed:7760007, PubMed:15496415, PubMed:15048703, PubMed:16352806, PubMed:23169771, PubMed:24945728). Promotes T-cell activation and proliferation via its interactions with CD6 (PubMed:15048703, PubMed:16352806, PubMed:24945728). Contributes to the formation and maturation of the immunological synapse via its interactions with CD6 (PubMed:15294938, PubMed:16352806). Mediates homotypic interactions with cells that express ALCAM (PubMed:15496415, PubMed:16352806). Required for normal hematopoietic stem cell engraftment in the bone marrow (PubMed:24740813). Mediates attachment of dendritic cells onto endothelial cells via homotypic interaction (PubMed:23169771). Inhibits endothelial cell migration and promotes endothelial tube formation via homotypic interactions (PubMed:15496415, PubMed:23169771). Required for normal organization of the lymph vessel network. Required for normal hematopoietic stem cell engraftment in the bone marrow. Plays a role in hematopoiesis; required for normal numbers of hematopoietic stem cells in bone marrow. Promotes in vitro osteoblast proliferation and differentiation (By similarity). Promotes neurite extension, axon growth and axon guidance; axons grow preferentially on surfaces that contain ALCAM. Mediates outgrowth and pathfinding for retinal ganglion cell axons (By similarity).By similarity"
Q07654,Trefoil factor 3,TFF3,Involved in the maintenance and repair of the intestinal mucosa. Promotes the mobility of epithelial cells in healing processes (motogen).1 Publication
P16109,P-selectin,SELP,Ca2+-dependent receptor for myeloid cells that binds to carbohydrates on neutrophils and monocytes. Mediates the interaction of activated endothelial cells or platelets with leukocytes. The ligand recognized is sialyl-Lewis X. Mediates rapid rolling of leukocyte rolling over vascular surfaces during the initial steps in inflammation through interaction with SELPLG.3 Publications
P04080,Cystatin-B,CSTB,"This is an intracellular thiol proteinase inhibitor. Tightly binding reversible inhibitor of cathepsins L, H and B."
P13500,C-C motif chemokine 2,CCL2,"Acts as a ligand for C-C chemokine receptor CCR2 (PubMed:9837883, PubMed:10587439, PubMed:10529171). Signals through binding and activation of CCR2 and induces a strong chemotactic response and mobilization of intracellular calcium ions (PubMed:9837883, PubMed:10587439). Exhibits a chemotactic activity for monocytes and basophils but not neutrophils or eosinophils (PubMed:8627182, PubMed:9792674, PubMed:8195247). May be involved in the recruitment of monocytes into the arterial wall during the disease process of atherosclerosis (PubMed:8107690).7 Publications"
Q86VB7,Scavenger receptor cysteine-rich type 1 protein M130,CD163,"Acute phase-regulated receptor involved in clearance and endocytosis of hemoglobin/haptoglobin complexes by macrophages and may thereby protect tissues from free hemoglobin-mediated oxidative damage. May play a role in the uptake and recycling of iron, via endocytosis of hemoglobin/haptoglobin and subsequent breakdown of heme. Binds hemoglobin/haptoglobin complexes in a calcium-dependent and pH-dependent manner. Exhibits a higher affinity for complexes of hemoglobin and multimeric haptoglobin of HP*1F phenotype than for complexes of hemoglobin and dimeric haptoglobin of HP*1S phenotype. Induces a cascade of intracellular signals that involves tyrosine kinase-dependent calcium mobilization, inositol triphosphate production and secretion of IL6 and CSF1. Isoform 3 exhibits the higher capacity for ligand endocytosis and the more pronounced surface expression when expressed in cells."
P17931,Galectin-3,LGALS3,"Galactose-specific lectin which binds IgE. May mediate with the alpha-3, beta-1 integrin the stimulation by CSPG4 of endothelial cells migration. Together with DMBT1, required for terminal differentiation of columnar epithelial cells during early embryogenesis (By similarity). In the nucleus: acts as a pre-mRNA splicing factor. Involved in acute inflammatory responses including neutrophil activation and adhesion, chemoattraction of monocytes macrophages, opsonization of apoptotic neutrophils, and activation of mast cells. Together with TRIM16, coordinates the recognition of membrane damage with mobilization of the core autophagy regulators ATG16L1 and BECN1 in response to damaged endomembranes.By similarity4 Publications"
P28799,Progranulin,GRN,"Secreted protein that acts as a key regulator of lysosomal function and as a growth factor involved in inflammation, wound healing and cell proliferation (PubMed:28541286, PubMed:28073925, PubMed:18378771, PubMed:28453791, PubMed:12526812). Regulates protein trafficking to lysosomes and, also the activity of lysosomal enzymes (PubMed:28453791, PubMed:28541286). Facilitates also the acidification of lysosomes, causing degradation of mature CTSD by CTSB (PubMed:28073925). In addition, functions as wound-related growth factor that acts directly on dermal fibroblasts and endothelial cells to promote division, migration and the formation of capillary-like tubule structures (By similarity). Also promotes epithelial cell proliferation by blocking TNF-mediated neutrophil activation preventing release of oxidants and proteases (PubMed:12526812). Moreover, modulates inflammation in neurons by preserving neurons survival, axonal outgrowth and neuronal integrity (PubMed:18378771).By similarity"
Q13867,Bleomycin hydrolase,BLMH,"The normal physiological role of BLM hydrolase is unknown, but it catalyzes the inactivation of the antitumor drug BLM (a glycopeptide) by hydrolyzing the carboxamide bond of its B-aminoalaninamide moiety thus protecting normal and malignant cells from BLM toxicity.By similarity"
P98160,Basement membrane-specific heparan sulfate proteoglycan core protein,HSPG2,"Integral component of basement membranes. Component of the glomerular basement membrane (GBM), responsible for the fixed negative electrostatic membrane charge, and which provides a barrier which is both size- and charge-selective. It serves as an attachment substrate for cells. Plays essential roles in vascularization. Critical for normal heart development and for regulating the vascular response to injury. Also required for avascular cartilage development."
P36941,Tumor necrosis factor receptor superfamily member 3,LTBR,"Receptor for the heterotrimeric lymphotoxin containing LTA and LTB, and for TNFS14/LIGHT. Promotes apoptosis via TRAF3 and TRAF5. May play a role in the development of lymphoid organs.2 Publications"
Q9UM47,Neurogenic locus notch homolog protein 3,NOTCH3,"Functions as a receptor for membrane-bound ligands Jagged1, Jagged2 and Delta1 to regulate cell-fate determination (PubMed:15350543). Upon ligand activation through the released notch intracellular domain (NICD) it forms a transcriptional activator complex with RBPJ/RBPSUH and activates genes of the enhancer of split locus. Affects the implementation of differentiation, proliferation and apoptotic programs (By similarity).By similarity"
Q99727,Metalloproteinase inhibitor 4,TIMP4,"Complexes with metalloproteinases (such as collagenases) and irreversibly inactivates them by binding to their catalytic zinc cofactor. Known to act on MMP-1, MMP-2, MMP-3, MMP-7 and MMP-9."
Q12860,Contactin-1,CNTN1,Contactins mediate cell surface interactions during nervous system development. Involved in the formation of paranodal axo-glial junctions in myelinated peripheral nerves and in the signaling between axons and myelinating glial cells via its association with CNTNAP1. Participates in oligodendrocytes generation by acting as a ligand of NOTCH1. Its association with NOTCH1 promotes NOTCH1 activation through the released notch intracellular domain (NICD) and subsequent translocation to the nucleus. Interaction with TNR induces a repulsion of neurons and an inhibition of neurite outgrowth (By similarity).By similarity
P33151,Cadherin-5,CDH5,"Cadherins are calcium-dependent cell adhesion proteins (By similarity). They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types (PubMed:21269602). This cadherin may play a important role in endothelial cell biology through control of the cohesion and organization of the intercellular junctions (By similarity). It associates with alpha-catenin forming a link to the cytoskeleton (PubMed:10861224). Acts in concert with KRIT1 and MPP5 to establish and maintain correct endothelial cell polarity and vascular lumen (By similarity). These effects are mediated by recruitment and activation of the Par polarity complex and RAP1B (PubMed:20332120). Required for activation of PRKCZ and for the localization of phosphorylated PRKCZ, PARD3, TIAM1 and RAP1B to the cell junction (PubMed:20332120).By similarity"
Q5T2D2,Trem-like transcript 2 protein,TREML2,Cell surface receptor that may play a role in the innate and adaptive immune response. Acts as a counter-receptor for CD276 and interaction with CD276 on T-cells enhances T-cell activation.2 Publications
P15090,"Fatty acid-binding protein, adipocyte",FABP4,Lipid transport protein in adipocytes. Binds both long chain fatty acids and retinoic acid. Delivers long-chain fatty acids and retinoic acid to their cognate receptors in the nucleus.By similarity
P10646,Tissue factor pathway inhibitor,TFPI,"Inhibits factor X (X(a)) directly and, in a Xa-dependent way, inhibits VIIa/tissue factor activity, presumably by forming a quaternary Xa/LACI/VIIa/TF complex. It possesses an antithrombotic action and also the ability to associate with lipoproteins in plasma."
P05121,Plasminogen activator inhibitor 1,SERPINE1,"Serine protease inhibitor. Inhibits TMPRSS7 (PubMed:15853774). Is a primary inhibitor of tissue-type plasminogen activator (PLAT) and urokinase-type plasminogen activator (PLAU). As PLAT inhibitor, it is required for fibrinolysis down-regulation and is responsible for the controlled degradation of blood clots (PubMed:8481516, PubMed:9207454, PubMed:17912461). As PLAU inhibitor, it is involved in the regulation of cell adhesion and spreading (PubMed:9175705). Acts as a regulator of cell migration, independently of its role as protease inhibitor (PubMed:15001579, PubMed:9168821). It is required for stimulation of keratinocyte migration during cutaneous injury repair (PubMed:18386027). It is involved in cellular and replicative senescence (PubMed:16862142). Plays a role in alveolar type 2 cells senescence in the lung (By similarity). Is involved in the regulation of cementogenic differentiation of periodontal ligament stem cells, and regulates odontoblast differentiation and dentin formation during odontogenesis (PubMed:25808697, PubMed:27046084).By similarity"
O00175,C-C motif chemokine 24,CCL24,"Chemotactic for resting T-lymphocytes, and eosinophils. Has lower chemotactic activity for neutrophils but none for monocytes and activated lymphocytes. Is a strong suppressor of colony formation by a multipotential hematopoietic progenitor cell line. Binds to CCR3."
P02786,Transferrin receptor protein 1,TFRC,"Cellular uptake of iron occurs via receptor-mediated endocytosis of ligand-occupied transferrin receptor into specialized endosomes. Endosomal acidification leads to iron release. The apotransferrin-receptor complex is then recycled to the cell surface with a return to neutral pH and the concomitant loss of affinity of apotransferrin for its receptor. Transferrin receptor is necessary for development of erythrocytes and the nervous system (By similarity). A second ligand, the heditary hemochromatosis protein HFE, competes for binding with transferrin for an overlapping C-terminal binding site. Positively regulates T and B cell proliferation through iron uptake (PubMed:26642240).By similarity2 Publications"
O14798,Tumor necrosis factor receptor superfamily member 10C,TNFRSF10C,Receptor for the cytotoxic ligand TRAIL. Lacks a cytoplasmic death domain and hence is not capable of inducing apoptosis. May protect cells against TRAIL mediated apoptosis by competing with TRAIL-R1 and R2 for binding to the ligand.
Q99988,Growth/differentiation factor 15,GDF15,"Regulates food intake, energy expenditure and body weight in response to metabolic and toxin-induced stresses (PubMed:28953886, PubMed:28846097, PubMed:28846098, PubMed:28846099, PubMed:23468844, PubMed:29046435). Binds to its receptor, GFRAL, and activates GFRAL-expressing neurons localized in the area postrema and nucleus tractus solitarius of the brainstem (PubMed:28953886, PubMed:28846097, PubMed:28846098, PubMed:28846099). It then triggers the activation of neurons localized within the parabrachial nucleus and central amygdala, which contitutes part of the 'emergency circuit' that shapes feeding responses to stressful conditions (PubMed:28953886). On hepatocytes, inhibits growth hormone signaling (By similarity).By similarity"
P16581,E-selectin,SELE,Cell-surface glycoprotein having a role in immunoadhesion. Mediates in the adhesion of blood neutrophils in cytokine-activated endothelium through interaction with SELPLG/PSGL1. May have a role in capillary morphogenesis.2 Publications
P20160,Azurocidin,AZU1,"This is a neutrophil granule-derived antibacterial and monocyte- and fibroblast-specific chemotactic glycoprotein. Binds heparin. The cytotoxic action is limited to many species of Gram-negative bacteria; this specificity may be explained by a strong affinity of the very basic N-terminal half for the negatively charged lipopolysaccharides that are unique to the Gram-negative bacterial outer envelope. It may play a role in mediating recruitment of monocytes in the second wave of inflammation. Has antibacterial activity against the Gram-negative bacterium P.aeruginosa, this activity is inhibited by LPS from P.aeruginosa. Acting alone, it does not have antimicrobial activity against the Gram-negative bacteria A.actinomycetemcomitans ATCC 29532, A.actinomycetemcomitans NCTC 9709, A.actinomycetemcomitans FDC-Y4, H.aphrophilus ATCC 13252, E.corrodens ATCC 23834, C.sputigena ATCC 33123, Capnocytophaga sp ATCC 33124, Capnocytophaga sp ATCC 27872 or E.coli ML-35. Has antibacterial activity against C.sputigena ATCC 33123 when acting synergistically with either elastase or cathepsin G.3 Publications"
P80370,Protein delta homolog 1,DLK1,May have a role in neuroendocrine differentiation.
Q9HCB6,Spondin-1,SPON1,Cell adhesion protein that promotes the attachment of spinal cord and sensory neuron cells and the outgrowth of neurites in vitro. May contribute to the growth and guidance of axons in both the spinal cord and the PNS (By similarity). Major factor for vascular smooth muscle cell.By similarity
P05164,Myeloperoxidase,MPO,"Part of the host defense system of polymorphonuclear leukocytes. It is responsible for microbicidal activity against a wide range of organisms. In the stimulated PMN, MPO catalyzes the production of hypohalous acids, primarily hypochlorous acid in physiologic situations, and other toxic intermediates that greatly enhance PMN microbicidal activity.1 Publication"
Q9H2A7,C-X-C motif chemokine 16,CXCL16,"Acts as a scavenger receptor on macrophages, which specifically binds to OxLDL (oxidized low density lipoprotein), suggesting that it may be involved in pathophysiology such as atherogenesis (By similarity). Induces a strong chemotactic response. Induces calcium mobilization. Binds to CXCR6/Bonzo.By similarity"
P08887,Interleukin-6 receptor subunit alpha,IL6R,"Part of the receptor for interleukin 6. Binds to IL6 with low affinity, but does not transduce a signal (PubMed:28265003). Signal activation necessitate an association with IL6ST. Activation may lead to the regulation of the immune response, acute-phase reactions and hematopoiesis.1 Publication"
Q9HD89,Resistin,RETN,Hormone that seems to suppress insulin ability to stimulate glucose uptake into adipose cells (By similarity). Potentially links obesity to diabetes (By similarity). Promotes chemotaxis in myeloid cells (PubMed:15064728).By similarity
P08833,Insulin-like growth factor-binding protein 1,IGFBP1,IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors. Promotes cell migration.1 Publication
Q13231,Chitotriosidase-1,CHIT1,"Degrades chitin, chitotriose and chitobiose. May participate in the defense against nematodes and other pathogens. Isoform 3 has no enzymatic activity.2 Publications"
P13686,Tartrate-resistant acid phosphatase type 5,ACP5,"Involved in osteopontin/bone sialoprotein dephosphorylation. Its expression seems to increase in certain pathological states such as Gaucher and Hodgkin diseases, the hairy cell, the B-cell, and the T-cell leukemias."
P35247,Pulmonary surfactant-associated protein D,SFTPD,"Contributes to the lung's defense against inhaled microorganisms, organic antigens and toxins. Interacts with compounds such as bacterial lipopolysaccharides, oligosaccharides and fatty acids and modulates leukocyte action in immune response. May participate in the extracellular reorganization or turnover of pulmonary surfactant. Binds strongly maltose residues and to a lesser extent other alpha-glucosyl moieties.1 Publication"
P19957,Elafin,PI3,Neutrophil and pancreatic elastase-specific inhibitor of skin. It may prevent elastase-mediated tissue proteolysis. Has been shown to inhibit the alpha-4-beta-2/CHRNA2-CHRNB2 nicotinic acetylcholine receptor and to produce a weak inhibition on Kv11.1/KCNH2/ERG1 and on the transient receptor potential cation channel subfamily V member 1 (TRPV1) (PubMed:29483648).1 Publication
P16422,Epithelial cell adhesion molecule,EPCAM,"May act as a physical homophilic interaction molecule between intestinal epithelial cells (IECs) and intraepithelial lymphocytes (IELs) at the mucosal epithelium for providing immunological barrier as a first line of defense against mucosal infection. Plays a role in embryonic stem cells proliferation and differentiation. Up-regulates the expression of FABP5, MYC and cyclins A and E.4 Publications"
P15144,Aminopeptidase N,ANPEP,"Broad specificity aminopeptidase which plays a role in the final digestion of peptides generated from hydrolysis of proteins by gastric and pancreatic proteases. Also involved in the processing of various peptides including peptide hormones, such as angiotensin III and IV, neuropeptides, and chemokines. May also be involved the cleavage of peptides bound to major histocompatibility complex class II molecules of antigen presenting cells. May have a role in angiogenesis and promote cholesterol crystallization. May have a role in amino acid transport by acting as binding partner of amino acid transporter SLC6A19 and regulating its activity (By similarity).By similarity"
P30530,Tyrosine-protein kinase receptor UFO,AXL,"Receptor tyrosine kinase that transduces signals from the extracellular matrix into the cytoplasm by binding growth factor GAS6 and which is thus regulating many physiological processes including cell survival, cell proliferation, migration and differentiation. Ligand binding at the cell surface induces dimerization and autophosphorylation of AXL. Following activation by ligand, ALX binds and induces tyrosine phosphorylation of PI3-kinase subunits PIK3R1, PIK3R2 and PIK3R3; but also GRB2, PLCG1, LCK and PTPN11. Other downstream substrate candidates for AXL are CBL, NCK2, SOCS1 and TNS2. Recruitment of GRB2 and phosphatidylinositol 3 kinase regulatory subunits by AXL leads to the downstream activation of the AKT kinase. GAS6/AXL signaling plays a role in various processes such as endothelial cell survival during acidification by preventing apoptosis, optimal cytokine signaling during human natural killer cell development, hepatic regeneration, gonadotropin-releasing hormone neuron survival and migration, platelet activation, or regulation of thrombotic responses. Plays also an important role in inhibition of Toll-like receptors (TLRs)-mediated innate immune response.8 Publications"
P14778,Interleukin-1 receptor type 1,IL1R1,"Receptor for IL1A, IL1B and IL1RN. After binding to interleukin-1 associates with the coreceptor IL1RAP to form the high affinity interleukin-1 receptor complex which mediates interleukin-1-dependent activation of NF-kappa-B, MAPK and other pathways. Signaling involves the recruitment of adapter molecules such as TOLLIP, MYD88, and IRAK1 or IRAK2 via the respective TIR domains of the receptor/coreceptor subunits. Binds ligands with comparable affinity and binding of antagonist IL1RN prevents association with IL1RAP to form a signaling complex. Involved in IL1B-mediated costimulation of IFNG production from T-helper 1 (Th1) cells (PubMed:10653850).2 Publications"
P08253,72 kDa type IV collagenase,MMP2,"Ubiquitinous metalloproteinase that is involved in diverse functions such as remodeling of the vasculature, angiogenesis, tissue repair, tumor invasion, inflammation, and atherosclerotic plaque rupture. As well as degrading extracellular matrix proteins, can also act on several nonmatrix proteins such as big endothelial 1 and beta-type CGRP promoting vasoconstriction. Also cleaves KISS at a Gly-|-Leu bond. Appears to have a role in myocardial cell death pathways. Contributes to myocardial oxidative stress by regulating the activity of GSK3beta. Cleaves GSK3beta in vitro. Involved in the formation of the fibrovascular tissues in association with MMP14."
P25445,Tumor necrosis factor receptor superfamily member 6,FAS,"Receptor for TNFSF6/FASLG. The adapter molecule FADD recruits caspase-8 to the activated receptor. The resulting death-inducing signaling complex (DISC) performs caspase-8 proteolytic activation which initiates the subsequent cascade of caspases (aspartate-specific cysteine proteases) mediating apoptosis. FAS-mediated apoptosis may have a role in the induction of peripheral tolerance, in the antigen-stimulated suicide of mature T-cells, or both. The secreted isoforms 2 to 6 block apoptosis (in vitro).2 Publications"
P02144,Myoglobin,MB,Serves as a reserve supply of oxygen and facilitates the movement of oxygen within muscles.
Q9Y275,Tumor necrosis factor ligand superfamily member 13B,TNFSF13B,"Cytokine that binds to TNFRSF13B/TACI and TNFRSF17/BCMA. TNFSF13/APRIL binds to the same 2 receptors. Together, they form a 2 ligands -2 receptors pathway involved in the stimulation of B- and T-cell function and the regulation of humoral immunity. A third B-cell specific BAFF-receptor (BAFFR/BR3) promotes the survival of mature B-cells and the B-cell response.1 Publication"
P24158,Myeloblastin,PRTN3,"Serine protease that degrades elastin, fibronectin, laminin, vitronectin, and collagen types I, III, and IV (in vitro) (PubMed:3198760, PubMed:2033050, PubMed:28240246). By cleaving and activating receptor F2RL1/PAR-2, enhances endothelial cell barrier function and thus vascular integrity during neutrophil transendothelial migration (PubMed:23202369). May play a role in neutrophil transendothelial migration, probably when associated with CD177 (PubMed:22266279).5 Publications"
Q8NBP7,Proprotein convertase subtilisin/kexin type 9,PCSK9,"Crucial player in the regulation of plasma cholesterol homeostasis. Binds to low-density lipid receptor family members: low density lipoprotein receptor (LDLR), very low density lipoprotein receptor (VLDLR), apolipoprotein E receptor (LRP1/APOER) and apolipoprotein receptor 2 (LRP8/APOER2), and promotes their degradation in intracellular acidic compartments (PubMed:18039658). Acts via a non-proteolytic mechanism to enhance the degradation of the hepatic LDLR through a clathrin LDLRAP1/ARH-mediated pathway. May prevent the recycling of LDLR from endosomes to the cell surface or direct it to lysosomes for degradation. Can induce ubiquitination of LDLR leading to its subsequent degradation (PubMed:18799458, PubMed:17461796, PubMed:18197702, PubMed:22074827). Inhibits intracellular degradation of APOB via the autophagosome/lysosome pathway in a LDLR-independent manner. Involved in the disposal of non-acetylated intermediates of BACE1 in the early secretory pathway (PubMed:18660751). Inhibits epithelial Na+ channel (ENaC)-mediated Na+ absorption by reducing ENaC surface expression primarily by increasing its proteasomal degradation. Regulates neuronal apoptosis via modulation of LRP8/APOER2 levels and related anti-apoptotic signaling pathways.8 Publications"
Q03405,Urokinase plasminogen activator surface receptor,PLAUR,Acts as a receptor for urokinase plasminogen activator. Plays a role in localizing and promoting plasmin formation. Mediates the proteolysis-independent signal transduction activation effects of U-PA. It is subject to negative-feedback regulation by U-PA which cleaves it into an inactive form.
P10451,Osteopontin,SPP1,Binds tightly to hydroxyapatite. Appears to form an integral part of the mineralized matrix. Probably important to cell-matrix interaction.
P07339,Cathepsin D,CTSD,Acid protease active in intracellular protein breakdown. Plays a role in APP processing following cleavage and activation by ADAM30 which leads to APP degradation (PubMed:27333034). Involved in the pathogenesis of several diseases such as breast cancer and possibly Alzheimer disease.1 Publication
O75594,Peptidoglycan recognition protein 1,PGLYRP1,"Pattern receptor that binds to murein peptidoglycans (PGN) of Gram-positive bacteria. Has bactericidal activity towards Gram-positive bacteria. May kill Gram-positive bacteria by interfering with peptidoglycan biosynthesis. Binds also to Gram-negative bacteria, and has bacteriostatic activity towards Gram-negative bacteria. Plays a role in innate immunity.2 Publications"
P15085,Carboxypeptidase A1,CPA1,"Carboxypeptidase that catalyzes the release of a C-terminal amino acid, but has little or no action with -Asp, -Glu, -Arg, -Lys or -Pro (PubMed:8806703). Catalyzes the conversion of leukotriene C4 to leukotriene F4 via the hydrolysis of an amide bond (By similarity).By similarity"
Q9Y624,Junctional adhesion molecule A,F11R,"Seems to play a role in epithelial tight junction formation. Appears early in primordial forms of cell junctions and recruits PARD3 (PubMed:11489913). The association of the PARD6-PARD3 complex may prevent the interaction of PARD3 with JAM1, thereby preventing tight junction assembly (By similarity). Plays a role in regulating monocyte transmigration involved in integrity of epithelial barrier (By similarity). Ligand for integrin alpha-L/beta-2 involved in memory T-cell and neutrophil transmigration (PubMed:11812992). Involved in platelet activation (PubMed:10753840).By similarity"
P56470,Galectin-4,LGALS4,Galectin that binds lactose and a related range of sugars. May be involved in the assembly of adherens junctions.
P27930,Interleukin-1 receptor type 2,IL1R2,"Non-signaling receptor for IL1A, IL1B and IL1RN. Reduces IL1B activities. Serves as a decoy receptor by competetive binding to IL1B and preventing its binding to IL1R1. Also modulates cellular response through non-signaling association with IL1RAP after binding to IL1B. IL1R2 (membrane and secreted forms) preferentially binds IL1B and poorly IL1A and IL1RN. The secreted IL1R2 recruits secreted IL1RAP with high affinity; this complex formation may be the dominant mechanism for neutralization of IL1B by secreted/soluble receptors.4 Publications"
P78324,Tyrosine-protein phosphatase non-receptor type substrate 1,SIRPA,"Immunoglobulin-like cell surface receptor for CD47. Acts as docking protein and induces translocation of PTPN6, PTPN11 and other binding partners from the cytosol to the plasma membrane. Supports adhesion of cerebellar neurons, neurite outgrowth and glial cell attachment. May play a key role in intracellular signaling during synaptogenesis and in synaptic function (By similarity). Involved in the negative regulation of receptor tyrosine kinase-coupled cellular responses induced by cell adhesion, growth factors or insulin. Mediates negative regulation of phagocytosis, mast cell activation and dendritic cell activation. CD47 binding prevents maturation of immature dendritic cells and inhibits cytokine production by mature dendritic cells.By similarity2 Publications"
Q16663,C-C motif chemokine 15,CCL15,"Chemotactic factor that attracts T-cells and monocytes, but not neutrophils, eosinophils, or B-cells. Acts mainly via CC chemokine receptor CCR1. Also binds to CCR3. CCL15(22-92), CCL15(25-92) and CCL15(29-92) are more potent chemoattractants than the small-inducible cytokine A15.1 Publication"
P42574,Caspase-3,CASP3,"Involved in the activation cascade of caspases responsible for apoptosis execution. At the onset of apoptosis it proteolytically cleaves poly(ADP-ribose) polymerase (PARP) at a '216-Asp-|-Gly-217' bond. Cleaves and activates sterol regulatory element binding proteins (SREBPs) between the basic helix-loop-helix leucine zipper domain and the membrane attachment domain. Cleaves and activates caspase-6, -7 and -9. Involved in the cleavage of huntingtin. Triggers cell adhesion in sympathetic neurons through RET cleavage.2 Publications"
P00749,Urokinase-type plasminogen activator,PLAU,Specifically cleaves the zymogen plasminogen to form the active enzyme plasmin.
P15086,Carboxypeptidase B,CPB1,Zn2+Search proteins in UniProtKB for this molecule.Search chemical reactions in Rhea for this molecule.See the description of this molecule in ChEBI.1 Publication
P36222,Chitinase-3-like protein 1,CHI3L1,"Carbohydrate-binding lectin with a preference for chitin. Has no chitinase activity. May play a role in tissue remodeling and in the capacity of cells to respond to and cope with changes in their environment. Plays a role in T-helper cell type 2 (Th2) inflammatory response and IL-13-induced inflammation, regulating allergen sensitization, inflammatory cell apoptosis, dendritic cell accumulation and M2 macrophage differentiation. Facilitates invasion of pathogenic enteric bacteria into colonic mucosa and lymphoid organs. Mediates activation of AKT1 signaling pathway and subsequent IL8 production in colonic epithelial cells. Regulates antibacterial responses in lung by contributing to macrophage bacterial killing, controlling bacterial dissemination and augmenting host tolerance. Also regulates hyperoxia-induced injury, inflammation and epithelial apoptosis in lung.4 Publications"
Q01638,Interleukin-1 receptor-like 1,IL1RL1,"Receptor for interleukin-33 (IL-33); signaling requires association of the coreceptor IL1RAP. Its stimulation recruits MYD88, IRAK1, IRAK4, and TRAF6, followed by phosphorylation of MAPK3/ERK1 and/or MAPK1/ERK2, MAPK14, and MAPK8. Possibly involved in helper T-cell function.1 Publication"
P00750,Tissue-type plasminogen activator,PLAT,"Converts the abundant, but inactive, zymogen plasminogen to plasmin by hydrolyzing a single Arg-Val bond in plasminogen. By controlling plasmin-mediated proteolysis, it plays an important role in tissue remodeling and degradation, in cell migration and many other physiopathological events. Plays a direct role in facilitating neuronal migration."
Q96PL1,Secretoglobin family 3A member 2,SCGB3A2,"Secreted cytokine-like protein (PubMed:12847263). Binds to the scavenger receptor MARCO (PubMed:12847263). Can also bind to pathogens including the Gram-positive bacterium L.monocytogenes, the Gram-negative bacterium P.aeruginosa, and yeast (PubMed:12847263). Strongly inhibits phospholipase A2 (PLA2G1B) activity (PubMed:24213919). Seems to have anti-inflammatory effects in respiratory epithelium (By similarity). Also has anti-fibrotic activity in lung (PubMed:24213919). May play a role in fetal lung development and maturation (PubMed:24213919). Promotes branching morphogenesis during early stages of lung development (PubMed:24213919). In the pituitary, may inhibit production of follicle-stimulating hormone (FSH) and luteinizing hormone (LH) (By similarity).By similarity"
